Date;Price in $
2020-05-31;270.0
2020-04-30;270.0
2020-03-31;260.0
2020-02-29;250.0
2020-01-31;250.0
2019-12-31;250.0
2019-11-30;250.0
2019-10-31;250.0
2019-09-30;250.0
2019-08-31;250.0
2019-07-31;253.0
2019-06-30;253.0
2019-05-31;265.0
2019-04-30;267.0
2019-03-31;270.0
2019-02-28;270.0
2019-01-31;270.0
2018-12-31;270.0
2018-11-30;270.0
2018-10-31;265.0
2018-09-30;265.0
2018-08-31;260.0
2018-07-31;250.0
2018-06-30;250.0
2018-05-31;250.0
2018-04-30;245.0
2018-03-31;215.0
2018-02-28;200.0
2018-01-31;195.0
2017-12-31;190.0
2017-11-30;165.0
2017-10-31;95.0
2017-09-30;68.0
2017-08-31;65.0
2017-07-31;65.0
2017-06-30;65.0
2017-05-31;65.0
2017-04-30;65.0
2017-03-31;43.0
2017-02-28;40.0
2017-01-31;40.0
2016-12-31;40.0
2016-11-30;40.0
2016-10-31;40.0
2016-09-30;42.0
2016-08-31;42.0
2016-07-31;42.0
2016-06-30;42.0
2016-05-31;42.0
2016-04-30;42.0
2016-03-31;42.0
2016-02-29;42.0
2016-01-31;42.0
2015-12-31;42.0
2015-11-30;42.0
2015-10-31;42.0
2015-09-30;42.0
2015-08-31;42.0
2015-07-31;42.0
2015-06-30;45.0
2015-05-31;50.0
2015-04-30;50.0
2015-03-31;54.0
2015-02-28;56.0
2015-01-31;56.0
2014-12-31;58.0
2014-11-30;58.0
2014-10-31;58.0
2014-09-30;61.0
2014-08-31;66.0
2014-07-31;68.0
2014-06-30;70.0
2014-05-31;72.0
2014-04-30;72.0
2014-03-31;69.0
2014-02-28;65.0
2014-01-31;60.0
2013-12-31;57.0
2013-11-30;57.0
2013-10-31;57.0
2013-09-30;57.0
2013-08-31;73.0
2013-07-31;82.0
2013-06-30;85.0
2013-05-31;85.0
2013-04-30;85.0
2013-03-31;85.0
2013-02-28;85.0
2013-01-31;85.0
2012-12-31;90.0
